,CurrentVehicleID,InspectStationVisionDuration,InspectStationVisionFinishTimeHour,InspectStationVisionFinishTimeMicroSecond,InspectStationVisionFinishTimeMinute,InspectStationVisionFinishTimeSecond,InspectStationVisionOpRequired,InspectStationVisionPassFail,InspectStationVisionStartTimeMicroSecond,InspectStationVisionStartTimeSecond,InspectStationVisionVialRGBBluLower,InspectStationVisionVialRGBBluUpper,InspectStationVisionVialRGBBlue,InspectStationVisionVialRGBGreLower,InspectStationVisionVialRGBGreUpper,InspectStationVisionVialRGBGreen,InspectStationVisionVialRGBRed,InspectStationVisionVialRGBRedLower,InspectStationVisionVialRGBRedUpper,InspectStationVisionWaitonRobot,InspectStationWeighCheckComplete,InspectStationWeighCheckData,InspectStationWeighCheckDuration
CurrentVehicleID,1,,,,,,,,,,,,,,,,,,,,,,
InspectStationVisionDuration,0.009200795,1,,,,,,,,,,,,,,,,,,,,,
InspectStationVisionFinishTimeHour,-0.011591885,0.608112638,1,,,,,,,,,,,,,,,,,,,,
InspectStationVisionFinishTimeMicroSecond,-0.019920429,0.210574281,0.099042005,1,,,,,,,,,,,,,,,,,,,
InspectStationVisionFinishTimeMinute,-0.00457749,0.194747754,-0.059619947,-0.019351344,1,,,,,,,,,,,,,,,,,,
InspectStationVisionFinishTimeSecond,-0.011675532,0.200177296,0.162381314,0.05939474,0.026611431,1,,,,,,,,,,,,,,,,,
InspectStationVisionOpRequired,0.009197594,0.999999987,0.608120823,0.210584723,0.194751398,0.200186407,1,,,,,,,,,,,,,,,,
InspectStationVisionPassFail,-0.024703936,0.552837812,0.366637927,0.126229644,0.149879195,0.098319501,0.552850832,1,,,,,,,,,,,,,,,
InspectStationVisionStartTimeMicroSecond,-0.023299097,0.209570111,0.088320352,0.955500698,-0.007758261,0.073304214,0.209580715,0.134210837,1,,,,,,,,,,,,,,
InspectStationVisionStartTimeSecond,-0.01513671,0.200649554,0.153913212,0.066285834,0.014783539,0.799318965,0.200659391,0.101436862,0.075530816,1,,,,,,,,,,,,,
InspectStationVisionVialRGBBluLower,-0.015156105,-0.041443393,-0.068276,0.008585827,0.072554901,-0.066463622,-0.041451847,-0.027821561,0.000881873,-0.046754745,1,,,,,,,,,,,,
InspectStationVisionVialRGBBluUpper,0.036593787,0.433392537,0.284764466,0.081347272,0.051470598,0.085762067,0.433405787,0.023166884,0.08040944,0.090081624,-0.123341843,1,,,,,,,,,,,
InspectStationVisionVialRGBBlue,0.028407417,0.166175847,-0.051592314,0.012930076,0.105163878,-0.066172362,0.166176631,-0.010176271,0.031317661,-0.039582472,0.266679418,0.263416451,1,,,,,,,,,,
InspectStationVisionVialRGBGreLower,-0.004033789,0.001135786,-0.074343398,0.003907768,-0.032711659,-0.060674742,0.001126946,-0.014002489,0.007248954,-0.035823559,0.742601403,-0.127095074,0.101576778,1,,,,,,,,,
InspectStationVisionVialRGBGreUpper,0.009506054,0.089297177,0.005887909,0.035200806,-0.102143834,0.00074994,0.089295529,-0.052300427,0.037518943,0.018655559,0.245100644,0.248439754,-0.160685342,0.743178492,1,,,,,,,,
InspectStationVisionVialRGBGreen,0.037365059,0.178613732,-0.036384383,-0.000249138,0.137445604,-0.078893388,0.178611148,-0.040903715,0.018847108,-0.050505058,0.200885816,0.210431352,0.946713176,0.042211661,-0.256853944,1,,,,,,,
InspectStationVisionVialRGBRed,0.03793237,0.149337931,0.036958182,-0.002952905,0.142586619,-0.108984187,0.149338047,-0.035449972,0.005820721,-0.076675406,0.364283281,0.257648172,0.857004793,0.21185041,-0.043537112,0.871718167,1,,,,,,
InspectStationVisionVialRGBRedLower,-0.010985224,-0.055488351,-0.094582481,0.019542919,0.075976741,-0.071635749,-0.055495323,-0.123322268,0.010489885,-0.05532184,0.94788533,-0.003412036,0.315790455,0.650230435,0.25574612,0.221264176,0.42042177,1,,,,,
InspectStationVisionVialRGBRedUpper,0.003158355,0.109919101,-0.150249778,0.051826308,-0.058095597,0.035045785,0.109921918,-0.180509541,0.060208505,0.04089541,0.234654283,0.231055451,0.029150897,0.546495621,0.683043767,-0.073050398,-0.157083806,0.259832649,1,,,,
InspectStationVisionWaitonRobot,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,,,
InspectStationWeighCheckComplete,-0.00370973,0.371657893,0.343125093,0.067553348,0.060156432,0.102540709,0.37165739,0.235771789,0.069313843,0.072694624,-0.014687039,0.454900957,0.102593596,0.022137178,0.105932413,0.086469667,0.091417532,-0.0376358,0.114494948,#DIV/0!,1,,
InspectStationWeighCheckData,-0.029424295,0.170802318,-0.204506343,0.035743221,0.052698321,0.022930386,0.170806654,0.300581387,0.054835789,0.012029973,0.28483549,0.004562407,0.337281662,0.27210863,0.053062764,0.288381202,0.160562529,0.23136295,0.27482296,#DIV/0!,0.332503132,1,
InspectStationWeighCheckDuration,-0.021863406,0.011113597,-0.047706484,0.047164751,0.023195331,0.035269482,0.011113767,0.021520171,0.045829471,0.028747277,-0.009578567,0.002320791,0.015964116,-0.067546524,-0.087995048,0.026761323,0.001801818,-0.012199622,-0.062202583,#DIV/0!,0.019394681,-0.014354452,1
